offer_id,product,category,ingredient,count,type
48809587409226,Red Rose and Ivy Wreath - 14 Inch,4,Hypericum,6,stems count
48809587409226,Red Rose and Ivy Wreath - 14 Inch,4,Chrysanthemum,8,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Rose,16,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Hydrangea,5,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Lily,4,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Lisianthus,6,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Gypsophila,7,stems count
48809587441994,Pink and White Wreath - 16 Inch,4,Baby's-breath,8,stems count
48809587474762,Red Rose and Ivy Wreath - 16 Inch,4,Rose,12,stems count
48809587474762,Red Rose and Ivy Wreath - 16 Inch,4,Hypericum,6,stems count
48809587474762,Red Rose and Ivy Wreath - 16 Inch,4,Chrysanthemum,8,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Rose,10,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Gerbera,8,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Lily,1,stems approx
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Freesia,5,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Hydrangea,4,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Foliage,8,stems count
48809587573066,Roses and Freesia Luxury Wreath - 12 Inch,4,Sedum,6,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Rose,10,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Gerbera,8,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Lily,1,stems approx
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Freesia,5,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Hydrangea,4,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Foliage,8,stems count
48809587605834,Roses and Freesia Luxury Wreath - 14 Inch,4,Sedum,6,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Rose,10,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Gerbera,8,stems count
48809587638602,Roses and Freesia Luxury Wreath - 16 Inch,4,Lily,1,stems approx
